Category,Amount_AUD_million,Sector
Family payments,546.5,Social
Property clean-up,445.9,Social
Local recovery projects,448.5,Economic
Small business aid,302.4,Economic
Environmental support,203.1,Environmental
Mental health aid,107.2,Social
Primary producer aid,243.7,Economic
Tourism support,76,Economic
Research & evaluation,89.4,Built
Defence support,68.4,Built
Telecom upgrades,27.1,Built
Firefighting aircraft,31,Built
Council funding,62,Social
Support for families,59.9,Social
Financial counselling,41.3,Economic
Charity funding,40,Social
Volunteer firefighter aid,15,Social
Legal aid,8.7,Social
