Date,Name,State_or_Territory,Area_burned_ha,Fatalities,Homes_destroyed,Other_buildings,Notes
6 February 1851,Black Thursday bushfires,Victoria,5000000,12,0,0,1 million sheep; thousands of cattle
9 September 1895,Upper Blue Mountains fires,New South Wales,150,0,24,0,Sheds; Main Western Railway Line at Mount Victoria
1 February 1898,Red Tuesday bushfires,Victoria,260000,12,2000,0,0
February – March 1926,1926 bushfires,Victoria,390000,60,1000,0,0
13-Jan-39,Black Friday bushfires,Victoria,2000000,71,3700,0,0
14 January – 14 February 1944,1944 Victorian bushfires,Victoria,1000000,18,500,0,0
18-Nov-44,1944 Blue Mountains bushfire,New South Wales,0,0,40,0,0
November 1951 – January 1952,1951–52 bushfires,Victoria,4000000,11,0,0,0
2-Jan-55,Black Sunday bushfires,South Australia,99500,2,40,0,0
30-Nov-57,1957 Grose Valley bushfire,New South Wales,0,4,0,0,0
2-Dec-57,1957 Leura bushfire,New South Wales,0,0,170,0,0
January – March 1961,1961 Western Australian fire,Western Australia,1800000,0,160,0,0
14 – 16 January 1962,1962 Victorian bushfires,Victoria,0,32,450,0,0
16 February – 13 March 1965,1965 Gippsland bushfires,Victoria,315000,0,20,60,4000 livestock
5 – 14 March 1965,Southern Highlands bushfires,New South Wales,251000,3,59,0,0
7-Feb-67,Black Tuesday bushfires,Tasmania,264000,64,1293,0,0
1968 – 69,1968–69 Killarney Top Spring fire,Northern Territory,40000000,0,0,0,0
29-Nov-68,1968 Blue Mountains Bushfire,New South Wales,0,4,120,0,0
8-Jan-69,1969 bushfires,Victoria,0,23,230,0,0
1969 – 70,1969–70 Dry River–Victoria fire,Northern Territory,45000000,0,0,0,0
1974 – 1975,1974–75 Australian bushfire season,Multiple states,117000000,6,0,0,"57,000 farm animals; 10,200 km fencing; 15% of Australia burnt"
12-Feb-77,Western Districts bushfires,Victoria,103000,4,116,340,0
17-Dec-77,Blue Mountains Fires 1977,New South Wales,54000,2,49,0,0
4-Apr-78,1978 Western Australian bushfires,Western Australia,114000,2,0,6,0
Dec-79,1979 Sydney bushfires,New South Wales,0,5,28,0,0
3-Nov-80,1980 Waterfall bushfire,New South Wales,1000000,5,14,0,0
9-Jan-83,Grays Point bushfire,New South Wales,0,3,0,0,0
16-Feb-83,Ash Wednesday bushfires,"South Australia, Victoria",418000,75,2400,0,0
25-Dec-84,1984 Western New South Wales grasslands bushfires,New South Wales,500000,0,0,0,"40,000 livestock; $40 million damages"
Mid-January 1985,1985 Cobar bushfire,New South Wales,516000,0,0,0,0
1984 – 1985,1984–85 NSW bushfires,New South Wales,3500000,5,0,0,0
14-Jan-85,Central Victoria bushfires,Victoria,50800,3,180,0,0
27 December 1993 – 16 January 1994,1994 Eastern seaboard fires,New South Wales,400000,4,225,0,0
8-Jan-97,Wooroloo bushfire,Western Australia,10500,0,16,0,0
21-Jan-97,Dandenongs bushfire,Victoria,400,3,41,0,0
2-Dec-97,Lithgow bushfire,New South Wales,0,2,0,0,0
2-Dec-97,Menai bushfire,New South Wales,0,1,11,0,0
2-Dec-97,Perth and South-West Region bushfires,Western Australia,23000,2,1,0,0
2-Dec-98,Linton bushfire,Victoria,0,5,0,0,0
25 December 2001 – 7 January 2002,Black Christmas bushfires,New South Wales,753314,0,121,0,0
August – November 2002,2002 NT bushfires,Northern Territory,38000000,0,0,0,0
19-Oct-02,Thurlgona Road Bushfire,New South Wales,0,0,10,0,Numerous sheds
20-Oct-02,Abernathy Bushfire,New South Wales,1400,1,13,0,Numerous sheds
4-Dec-02,2002 NSW Bushfires,New South Wales,0,1,20,0,Significant damage to Holsworthy Army Base
18 – 22 January 2003,2003 Canberra bushfires,Australian Capital Territory,160000,4,500,0,0
8 January – 8 March 2003,2003 Eastern Victorian alpine bushfires,Victoria,1300000,0,41,213,"10,000 livestock"
Dec-03,Tenterden bushfire,Western Australia,15000,0,2,0,0
10 – 12 January 2005,2005 Eyre Peninsula bushfire,South Australia,77964,9,93,0,0
1-Jan-06,"Jail Break Inn Fire, Junee",New South Wales,30000,0,7,4,"20,000 livestock; 1,500 km fencing"
December 2005 – January 2006,2005 Victorian bushfires,Victoria,160000,4,57,359,"65,000 livestock"
Jan-06,Grampians bushfire,Victoria,184000,2,0,0,0
6-Feb-06,"Pulletop bushfire, Wagga Wagga",New South Wales,9000,0,0,2,"2,500 livestock; 3 vehicles; 50 km fencing"
1 December 2006 – March 2007,The Great Divides bushfire,Victoria,1048000,1,51,0,0
September 2006 – January 2007,2006–07 Australian bushfire season,Multiple states,1360000,5,83,20,0
4-Feb-07,Dwellingup bushfire,Western Australia,12000,0,16,0,0
6 – 14 December 2007,2007 Kangaroo Island bushfires,South Australia,95000,1,0,0,0
30-Dec-07,Boorabbin National Park bushfire,Western Australia,40000,3,0,0,Powerlines; Highway closed 2 weeks
7 February – 14 March 2009,Black Saturday bushfires,Victoria,450000,173,2029,2000,0
4-Jan-13,Tasmanian bushfires,Tasmania,20000,1,0,0,0
18-Jan-13,Warrumbungle bushfire,New South Wales,54000,0,53,118,Agricultural machinery and livestock; Observatory damage
17 – 28 October 2013,2013 New South Wales bushfires,New South Wales,100000,1,208,40,0
27 December 2011 – 3 February 2012,Carnarvon bushfire complex,Western Australia,800000,0,0,0,11 pastoral stations damaged
2 – 9 January 2015,2015 Sampson Flat bushfires,South Australia,20000,0,27,140,0
29 January – 20 February 2015,2015 O'Sullivan bushfire,Western Australia,98923,0,2,5,Thousands of hectares of forests
Jan-15,2015 Lower Hotham bushfire,Western Australia,52373,0,1,1,1 bridge; production forest
1–9 August 2015,2015 Wentworthfalls Winter Fire,New South Wales,800,0,0,0,0
October – November 2015,2015 Esperance bushfires,Western Australia,200000,4,10,0,"15,000 livestock; 5 nature reserves"
15 – 24 November 2015,Perth Hills bushfire complex – Solus Group,Western Australia,10016,0,0,0,Jarrah production forest
25 November – 2 December 2015,2015 Pinery bushfire,South Australia,85000,2,91,0,0
Jan-16,2016 Murray Road bushfire (Waroona and Harvey),Western Australia,69165,2,181,0,Yarloop Workshops; forests destroyed
11 – 14 February 2017,2017 New South Wales bushfires,New South Wales,52000,0,35,0,0
Early February 2019,Tingha bushfire,New South Wales,23419,0,19,0,0
5 September 2019 – 2 March 2020,2019–20 (Black Summer),Nationwide,18626000,34,2600,6000,Over 1 billion animals killed or displaced
